Country,2015,2016,2017,2018,2019,2020,2021,2022
World,80.40,79.33,80.19,80.06,79.91,81.96,81.45,80.91
Cambodia,241.36,240.36,243.00,252.53,255.99,256.69,257.84,247.54
Timor-Leste,130.00,136.11,135.32,134.30,132.84,136.58,142.73,138.49
Indonesia,194.77,183.96,196.87,199.91,180.77,191.31,183.19,185.22
Laos,241.38,241.47,241.50,241.65,234.24,223.05,222.89,226.86
Malaysia,121.38,117.02,113.41,115.52,116.25,120.45,120.87,120.68
Myanmar,200.33,199.23,199.79,199.09,193.25,261.90,268.74,278.97
Philippines,190.10,166.31,179.02,178.53,191.68,188.27,190.18,194.48
Thailand,165.60,163.88,159.95,163.56,158.98,162.92,170.62,178.85
Vietnam,248.73,237.39,238.69,230.92,234.03,238.33,231.99,228.13
